title,rating,runtime,imdb_rating,meta_score,genre,release_year,description,director,stars,votes,gross,img_src,type
The Gold Rush,Passed,95,8.2,,"Adventure, Comedy, Drama",1925,"A prospector goes to the Klondike during the 1890s gold rush in hopes of making his fortune, and is smitten with a girl he sees in a dance hall.",Charles Chaplin,"Charles Chaplin, Mack Swain, Tom Murray, Henry Bergman, ","112,318",$5.45M,"https://m.media-amazon.com/images/M/MV5BZjEyOTE4MzMtNmMzMy00Mzc3LWJlOTQtOGJiNDE0ZmJiOTU4L2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UY209_CR6,0,140,209_AL_.jpg",Movie
Gingerbread Miracle,,84,6.6,,"Drama, Romance",2021,"Maya is a freelance attorney who, after a minor setback, has been living in the apartment above her parents' garage and using the Casillas Panadería as her unofficial office for the past ...                See full summary »",Michael M. Scott,"Merritt Patterson, Jon-Michael Ecker, Jorge Montesi, Elyse Maloway, ","1,065",,"https://m.media-amazon.com/images/M/MV5BZGVlOTA3M2QtMjQzMC00YzcyLWFhY2QtODFjNzM4ODdlN2VlXkEyXkFqcGdeQXVyNjk0NzUzMTU@._V1_UX140_CR0,0,140,209_AL_.jpg",Movie
Christmas on the Menu,TV-PG,88,6.2,,"Comedy, Drama, Romance",2020,"Celebrated chef Josie heads home for the holidays and creates a special festive menu for her mom's new bed-and-breakfast bistro, where she runs into Tanner, the famous food critic who ...                See full summary »",Jake Helgren,"Kim Shaw, Clayton James, Cynthia Gibb, Katrina Norman, ",593,,"https://m.media-amazon.com/images/M/MV5BN2RmN2UwYWQtMDJjYy00MTUzLWEyMTAtYzcwYTJhZDQzMzk4XkEyXkFqcGdeQXVyMTQyODAxMw@@._V1_UX140_CR0,0,140,209_AL_.jpg",Movie
My Christmas Inn,TV-G,100,5.5,,"Comedy, Drama, Romance",2018,A big city advertising executive inherits her great-aunt's inn and heads to the small Alaskan town where it's located to get it ready for sale.,Peter Sullivan,"Tia Mowry-Hardrict, Rob Mayes, Jackée Harry, Tim Reid, ","2,338",,"https://m.media-amazon.com/images/M/MV5BMDk0N2IzODAtODU0NS00MmViLTkwZGUtZWFiNmYzMzE0ZDg3XkEyXkFqcGdeQXVyMTU0NjY0NDg@._V1_UY209_CR11,0,140,209_AL_.jpg",Movie
Santa & Cie,TV-PG,92,6.3,,"Comedy, Family, Fantasy",2017,"When all the elves get sick, Santa must find a cure on Earth to save Christmas.",Alain Chabat,"Alain Chabat, Golshifteh Farahani, Pio Marmaï, Bruno Sanches, ","2,690",,"https://m.media-amazon.com/images/M/MV5BYWE0OWRkZmItOGQxYi00YTQ1LTg3N2ItZjk2NzVhZjdhOGIyXkEyXkFqcGdeQXVyNzEyMDU1MzU@._V1_UY209_CR7,0,140,209_AL_.jpg",Movie
Christmas Time,TV-PG,90,5.9,,Comedy,2017,Two estranged brothers try to reconnect at Christmas but there's something that one of them can't get past...the other think's he's a time traveler.,Jake Van Wagoner,"Maclain Nelson, Jake Van Wagoner, Clare Niederpruem, Adam Johnson, ",470,,"https://m.media-amazon.com/images/M/MV5BMjRjMGRhNGUtYjI3My00YTU0LTk4ZTUtMWFkYWNkNTU3NjgzXkEyXkFqcGdeQXVyMjI2MDU2NTk@._V1_UY209_CR0,0,140,209_AL_.jpg",Movie
A Christmas Carol,,82,3.5,,"Drama, Fantasy",2012,"On the anniversary of Jacob Marley's death, his business partner Ebenezer Scrooge finds unwelcome company in the form of three spirits from Christmases Past, Present and Yet to Come. If he ...                See full summary »",Jason Figgis,"Karl Argue, Lara Belmont, David Browne, Kathryn Browne, ",190,,"https://m.media-amazon.com/images/M/MV5BMTM5NTg3NDY4N15BMl5BanBnXkFtZTgwODkyODAzMDE@._V1_UY209_CR4,0,140,209_AL_.jpg",Movie
The Christmas Shepherd,,84,6.7,,"Drama, Romance",2014,The search for a missing dog leads to a new romance.,Terry Ingram,"Teri Polo, Martin Cummins, Jordyn Ashley Olson, Jill Teed, ","1,252",,"https://m.media-amazon.com/images/M/MV5BNTJjNTY4YmMtYTMyYy00NWUxLWJlYWUtMjAwOTkxM2ViYmI3XkEyXkFqcGdeQXVyMTIxOTk5MzY@._V1_UX140_CR0,0,140,209_AL_.jpg",Movie
Mariah Carey's Magical Christmas Special,TV-G,43,5.8,,"Adventure, Family, Fantasy",2020,"When the world is faced with a holiday cheer crisis, the North Pole knows only one person who can solve it: Santa's great friend, Mariah Carey.",Roman Coppola,"Hamish Hamilton, Mariah Carey, Monroe Cannon, Moroccan Cannon, Misty Copeland, ","1,418",,"https://m.media-amazon.com/images/M/MV5BZmVmMTZmYjEtMGVjMy00NjFkLTg0NDItZTdlMDYxODFmMjE2XkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_UY209_CR0,0,140,209_AL_.jpg",Movie
The Engagement Clause,TV-PG,87,5.5,,"Comedy, Romance",2016,A high-level executive must find herself a husband before Christmas in order to inherit a fortune.,Letia Clouston,"Jes Macallan, Coby Ryan McLaughlin, April Bowlby, James Eckhouse, ","1,282",,"https://m.media-amazon.com/images/M/MV5BMDFjMjdjMWYtMmI4MC00NzgwLWJhYzQtMmM1YTY4YWRmMTI1XkEyXkFqcGdeQXVyNjUzNTE3MjY@._V1_UY209_CR0,0,140,209_AL_.jpg",Movie
A Christmas Exchange,TV-PG,87,6.0,,"Drama, Romance",2020,"This holiday season, Molly Cooper swaps her snow covered farmhouse for Patrick Kensington's posh London apartment. While enjoying Christmas time in the UK, Molly begins to look forward to ...                See full summary »",Justin G. Dyck,"Laura Vandervoort, Rainbow Sun Francks, Yanic Truesdale, Martin Roach, ",615,,"https://m.media-amazon.com/images/M/MV5BZDY3NDUwZjUtYzA4MS00ZWNjLWExMmUtMDBiMTA4N2JlZTViXkEyXkFqcGdeQXVyNjI4Mzg5OTg@._V1_UY209_CR2,0,140,209_AL_.jpg",Movie
